구분,QA
노인정책,"노인맞춤돌봄서비스 신청은 어떻게 하나요? 본인, 신청자의 친족 및 이해관계인및 수행기관이 서비스 대상자의 주민등록상 주소지의 읍·면·동 행정복지센터에 신분증과 신청서를 제출합니다."
노인정책,"노인맞춤돌봄서비스 내용은 어떻게 되나요? 대분류로 안전지원, 사회참여, 생활교육, 일상생활지원 분야의 다양한 서비스를 서비스 제공계획에 따라 직접 또는 연계 제공합니다."
노인정책,"안전지원에서 받을 수 있는 서비스가 무엇인가요? 대표적으로 안전･안부확인, 말벗(정서지원),정보제공(사회·재난안전, 보건·복지 정보제공),생활안전점검(안전관리점검, 위생관리점검) 등이 있습니다."
노인정책,"사회참여에서 받을 수 있는 서비스는 무엇인가요? 대표적으로 여가활동, 평생교육활동,문화활동 등이 있습니다."
노인정책,"생활교육에서 받을 수 있는 서비스는 무엇인가요? 영양교육, 건강교육, 우울예방 프로그램, 인지활동 프로그램 등이 있습니다"
노인정책,"일상생활 지원에서 받을 수 있는 서비스는 무엇인가요? 외출동행, 식사관리, 청소관리 등이 있습니다"
노인정책,"노인맞춤돌봄서비스에 비용 또는 돈을 내야하나요? 아닙니다. 이용자부담금이 없습니다."
노인정책,"노인주거복지시설은 무엇인가요? 양로시설, 노인공동생활가정, 노인복지주택 서비스를 의미합니다."
일자리,"노인 일자리 및 사회활동 지원사업이 있어? 네 있습니다. 보건복지부 노인지원과에서 담당하고 있는 노인일자리 및 사회활동 지원사업을 진행하고 있습니다. 이 사업으로 활기차고 건강한 노후생활을 영위할 수 있도록 다양한 일자리를 제공하고 사회활동을 지원하여 노인 복지 향상에 기여합니다."
일자리,"노인 일자리 및 사회활동 지원사업의 지원대상은 어떻게 돼? 사회활동 지원사업 참여 조건에 부합하는 65세 이상 어르신을 지원하며, 일부 사업의 경우 60세 이상인 분들도 지원 가능합니다."
일자리,"노인 일자리 및 사회활동 지원사업에 대해서 문의하고 싶은데 전화번호가 어떻게 돼? 보건복지부 : 129, 한국노인인력개발원 : 1544-3388 입니다."
일자리,"노인 일자리 및 사회활동 지원사업의 신청방법은 어떻게 돼? 방법은 2가지가 있습니다. 첫 번째 방법은 지방자치단체별 행정복지센터(구, 동사무소)나, 가까운 노인일자리 수행기관을 방문하여 신청이 가능합니다. 두 번째 방법은 노인일자리 여기(www.seniorro.or.ke), 복지로(www.bokjiro.go.kr), 정부24(www.gov.kr))을 통해 온라인 신청이 가능합니다. - 복지로 온라인신청 경로 : 복지로 로그인 > 서비스 신청 > 민원서비스 신청 > 민원서비스 신청 > 노인일자리사업"
의료지원,"의료급여 틀니, 치과임플란트 지원 사업의 지원 대상자이 어떻게 되나요? 의료급여 틀니, 치과임플란트 지원 사업의 지원 대상은 만 65세 이상 의료급여 수급권자를 대상으로 합니다. 노인 틀니는 만 65세 이상 의료급여 수급권자, 치과임플란트는 만 65세 이상 부분 무치악 환자를 대상으로 합니다."
의료지원,"의료급여 틀니, 치과 임플란트 지원 사업 신청 방법은 어떻게 돼? 틀니, 치과임플란트 대상자 사전등록제를 운영합니다. 치과 병·의원에서 시술 전에 국민건강보험공단 등록시스템(요양기관 정보마당)을 통해 직접 등록합니다. 또는 의료급여 수급권자가 발급받은 틀니(치과임플란트) 등록신청서를 관할 시군구청 또는 읍면동에 방문하여 제출·등록 후 시술합니다."
의료지원,"노인을 위한 치과 치료에 대한 지원 사업이 있어? 네 있습니다. 보건복지부 기초의료보장과에서 담당하고 있는 의료급여 틀니, 치과 임플란트 지원 사업을 진행하고 있습니다. 틀니 및 치과임플란트에 대하여 의료급여를 실시하여 65세 이상 노인 수급권자의 경제적 부담을 완화하고 구강건강 향상을 도모합니다."
의료지원,"의료급여 틀니, 치과 임플란트 지원 사업 신청 방법은 어떻게 돼? 틀니, 치과임플란트 대상자 사전등록제를 운영합니다. 치과 병·의원에서 시술 전에 국민건강보험공단 등록시스템(요양기관 정보마당)을 통해 직접 등록합니다. 또는 의료급여 수급권자가 발급받은 틀니(치과임플란트) 등록신청서를 관할 시군구청 또는 읍면동에 방문하여 제출·등록 후 시술합니다."
의료지원,"의료급여 틀니, 치과 임플란트 지원 사업에 대해서 문의하고 싶은데 전화번호가 어떻게 돼? 보건복지상담센터 : 129, 건강보험심사평가원 : 1644-2000, 보건복지부기초의료보장과 : 044-202-3098 입니다."
교통지원,"대중교통 지원 해줘? 네 지원합니다. 월 15회 이상 대중교통 이용 비용의 일정비율에 대해 환급 지원합니다. 일반 20%, 청년(19~34세) 30%, 저소득 53% 환급 지원합니다."
교통지원,"대중교통 지원 대상이 어떻게 돼? 만 19세 이상 국민 중 월 15회 이상 대중교통 이용자를 대상으로 지원합니다. 외국인 등록번호가 있는 외국인에 한해 회원가입 가능합니다. 외국인 등록번호로 거소사실 여부를 확인할 수 없다면, """"홈페이지""""로 가입 가능합니다. "
교통지원,"대중교통 지원비 신청 방법은 어떻게 돼? 별도 신청 없이 직접 지원합니다. (단, K-패스 카드 발급 및 회원가입 필요)"
교통지원,"대중교통 지원에 대해서 문의 하고 싶은데 전화 번호가 뭐야?  K-패스 고객센터 : 031-427-4415, 국토교통부 : 1599-0001 입니다."
